class,aspect,elevation,slope
burned,175.92123,835,17.137075
burned,335.23523,898,22.294939
burned,201.84003,1216,9.8925905
burned,100.74307,689,31.29512
burned,356.7744,1013,21.262154
burned,214.0596,235,2.237946
burned,270,880,10.928087
burned,351.78015,687,24.605995
burned,204.30792,635,12.032514
burned,102.70448,592,16.405838
burned,254.77408,749,13.850197
burned,236.19499,1144,16.222578
burned,112.31158,962,35.93725
burned,181.76431,589,35.473663
burned,85.81189,1055,33.622585
burned,331.53183,1186,28.917671
burned,286.79593,691,31.642223
burned,180,726,17.93964
burned,60.594948,638,18.247538
burned,99.65709,862,16.145527
burned,40.86516,1164,3.6742508
burned,52.78586,529,46.953556
burned,306.5015,674,24.826643
burned,17.983044,1334,22.218082
burned,22.343027,1069,34.31616
burned,58.33881,994,23.352757
burned,226.87685,786,6.75274
burned,94.65043,780,30.920929
burned,342.36462,630,16.106754
burned,289.23526,1261,36.391735
burned,272.44415,1362,20.786114
burned,322.64624,1322,33.090736
burned,260.68417,1177,34.9922
burned,295.1395,1122,20.85919
burned,247.28236,574,20.668957
burned,225.69975,618,20.347002
burned,81.261566,928,32.59124
burned,33.12522,1096,30.108395
burned,5.342233,843,25.243567
burned,342.45273,413,12.446271
burned,155.84544,839,9.071832
burned,208.46957,1213,15.4412
burned,43.006123,1589,33.587566
burned,325.8608,582,2.2400494
burned,334.33298,1156,26.696835
burned,42.976875,735,3.7975497
burned,112.08699,574,25.34041
burned,233.35664,790,1.553642
burned,138.06406,308,18.077385
burned,234.30661,853,1.5892658
burned,103.845566,804,11.471491
burned,112.16873,801,25.262733
burned,8.644105,617,8.382992
burned,0,991,27.384548
burned,75.514626,779,32.909603
burned,7.3483763,1185,9.269976
burned,189.69675,570,7.484606
burned,39.844738,1169,30.55529
burned,309.1607,544,15.747032
burned,180,702,13.648223
burned,187.0055,444,10.170939
burned,180,854,3.7047918
burned,24.156057,885,6.0761294
burned,310.65656,1262,25.27081
burned,310.98434,523,27.398718
burned,85.53092,1106,22.562489
burned,24.726458,1197,16.855227
burned,214.33736,1002,11.091701
burned,304.1834,1173,33.531364
burned,285.46255,610,10.323368
burned,242.32271,1331,50.65417
burned,45.067673,1481,26.75912
burned,308.22522,553,23.977188
burned,54.388912,682,36.892536
burned,308.27914,650,40.771587
burned,174.68958,855,25.999718
burned,206.59363,532,35.222736
burned,85.016304,431,20.439411
burned,82.970764,319,7.535291
burned,350.4575,1508,33.288754
