vegetation_code,vegetation_class,area_available_ha,area_burned_ha
1,Non burnable,731433.261331966,5417.59522507619
2,Subalpine forest,773039.82178039,25450.1555356463
3,Wet forest,322569.799242271,17334.2781925501
4,Dry forest,255520.412419129,17881.0464070709
5,Shrubland,439503.939894044,37982.2956730366
6,Steppe and grassland,349288.523325965,19890.1553911142
7,Anthropogenic prairie and shrubland,44633.5252421857,1390.31594320942
8,Plantation,9807.05661819824,1247.95206922136
