system:index,Burned,Fire_ID,LANDSAT_ID,Year,dnbr,nbr_delta,nbr_min,ndvi_max,.geo
0_000000000000000001ae_40,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.059185863,0.13353735,0.58915174,0.8558685,
0_000000000000000001ae_41,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.03517875,-0.018933207,0.36331192,0.6507137,
0_000000000000000001ae_42,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08020278,0.069630876,-0.033557046,0.54399556,
0_000000000000000001ae_43,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.032978997,0.067253515,0.15973742,0.52508146,
0_000000000000000001ae_44,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.12844601,0.19266728,0.15409532,0.6200696,
0_000000000000000001ae_45,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06229487,0.054594368,0.33333334,0.65313655,
0_000000000000000001ae_46,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.051485475,0.090540834,-0.054325018,0.44861022,
0_000000000000000001ae_47,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.058556437,0.14493144,0.07915994,0.5252832,
0_000000000000000001ae_48,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.04346344,-0.026539117,0.12374582,0.5536039,
0_000000000000000001ae_49,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.01663521,0.18569511,0.061392866,0.616906,
0_000000000000000001ae_50,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.099484645,-0.030421443,0.07886435,0.51889455,
0_000000000000000001ae_51,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.10914114,0.1284087,0.13823953,0.53756475,
0_000000000000000001ae_52,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06643629,0.054947734,0.5162479,0.75046974,
