,fire_freq,area_ha,prob
1,1,133050.87955683,0.974149351050536
2,2,3511.4674511136,0.025709666483462
3,3,18.9877585605699,0.000139021348384
4,4,0.267852587093482,1.96111761728619E-06
5,5,0,0
