"year","burned_ha","perc","nfires"
1999,2290.49241004841,1.12018250658936,4
2000,480.822482242458,0.235149844208167,3
2001,0,0,0
2002,4226.96811756422,2.06723048739826,5
2003,146.224008491987,0.0715119489754762,1
2004,1674.41874130375,0.818887054366704,6
2005,86.1774454973139,0.0421457266067118,4
2006,342.958543079061,0.167726449892238,4
2007,35.5985715114988,0.0174097486164158,3
2008,256.925898750048,0.125651539383826,8
2009,2257.06727896887,1.103835695331,2
2010,0,0,0
2011,920.710042128603,0.450280157362238,2
2012,3806.3933394271,1.86154523512888,2
2013,70.3491037229927,0.0344047572474039,1
2014,74.3556533772305,0.0363641904307533,1
2015,6954.19849601308,3.40100297578337,7
2016,42.4189431270203,0.0207453025517307,2
2017,0,0,0
2018,24.9730744517729,0.0122132695196481,1
2019,73.7308985212907,0.036058649378768,2
2020,0,0,0
2021,14328.4297149955,7.00742610768739,9
2022,0,0,0
